#
#
# US Geological Survey, Water Resources Data
# retrieved: 2015-01-08 14:48:14 EST      (vaww01)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# dd_nu
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 04108801 MACATAWA RIVER NEAR ZEELAND, MI
# 
# Explanation of Parameter Code and dd_nu used in the Statistics Data 
# parameter_cd	Parameter Name					dd_nu	Location Name
# 00060		Discharge, cubic feet per second		2	
#
#
agency_cd	site_no	parameter_cd	dd_nu	year_nu	month_nu	mean_va
# 5s	15s	5s	3n	4s	2s	12n
USGS	04108801	00060	2	1987	11	101.4
USGS	04108801	00060	2	1987	12	195.8
USGS	04108801	00060	2	1988	1	159.6
USGS	04108801	00060	2	1988	2	120.2
USGS	04108801	00060	2	1988	3	89.7
USGS	04108801	00060	2	1988	4	131.5
USGS	04108801	00060	2	1988	5	14.4
USGS	04108801	00060	2	1988	6	3.68
USGS	04108801	00060	2	1988	7	2.40
USGS	04108801	00060	2	1988	8	2.63
USGS	04108801	00060	2	1988	9	16.0
USGS	04108801	00060	2	1988	10	54.1
USGS	04108801	00060	2	1988	11	227.1
USGS	04108801	00060	2	1988	12	122.1
USGS	04108801	00060	2	1989	1	58.6
USGS	04108801	00060	2	1989	2	25.1
USGS	04108801	00060	2	1989	3	173.1
USGS	04108801	00060	2	1989	4	31.6
USGS	04108801	00060	2	1989	5	127.6
USGS	04108801	00060	2	1989	6	148.5
USGS	04108801	00060	2	1989	7	6.41
USGS	04108801	00060	2	1989	8	34.6
USGS	04108801	00060	2	1989	9	17.1
USGS	04108801	00060	2	1989	10	6.62
USGS	04108801	00060	2	1989	11	121.1
USGS	04108801	00060	2	1989	12	19.6
USGS	04108801	00060	2	1990	1	237.4
USGS	04108801	00060	2	1990	2	65.4
USGS	04108801	00060	2	1990	3	165.3
USGS	04108801	00060	2	1990	4	77.9
USGS	04108801	00060	2	1990	5	137.9
USGS	04108801	00060	2	1990	6	15.5
USGS	04108801	00060	2	1990	7	8.32
USGS	04108801	00060	2	1990	8	8.84
USGS	04108801	00060	2	1990	9	9.30
USGS	04108801	00060	2	1990	10	111.7
USGS	04108801	00060	2	1990	11	333.4
USGS	04108801	00060	2	1990	12	187.5
USGS	04108801	00060	2	1991	1	82.8
USGS	04108801	00060	2	1991	2	79.4
USGS	04108801	00060	2	1991	3	158.0
USGS	04108801	00060	2	1991	4	183.0
USGS	04108801	00060	2	1991	5	38.5
USGS	04108801	00060	2	1991	6	10.7
USGS	04108801	00060	2	1991	7	13.8
USGS	04108801	00060	2	1991	8	6.76
USGS	04108801	00060	2	1991	9	3.96
USGS	04108801	00060	2	1991	10	47.9
USGS	04108801	00060	2	1991	11	196.2
USGS	04108801	00060	2	1991	12	194.8
USGS	04108801	00060	2	1992	1	83.8
USGS	04108801	00060	2	1992	2	108.0
USGS	04108801	00060	2	1992	3	104.0
USGS	04108801	00060	2	1992	4	85.7
USGS	04108801	00060	2	1992	5	14.3
USGS	04108801	00060	2	1992	6	9.34
USGS	04108801	00060	2	1992	7	37.4
USGS	04108801	00060	2	1992	8	9.53
USGS	04108801	00060	2	1992	9	31.4
USGS	04108801	00060	2	1992	10	34.9
USGS	04108801	00060	2	1992	11	209.7
USGS	04108801	00060	2	1992	12	134.7
USGS	04108801	00060	2	1993	1	236.5
USGS	04108801	00060	2	1993	2	29.3
USGS	04108801	00060	2	1993	3	203.3
USGS	04108801	00060	2	1993	4	206.1
USGS	04108801	00060	2	1993	5	30.1
USGS	04108801	00060	2	1993	6	86.2
USGS	04108801	00060	2	1993	7	10.6
USGS	04108801	00060	2	1993	8	25.2
USGS	04108801	00060	2	1993	9	177.1
USGS	04108801	00060	2	1993	10	96.4
USGS	04108801	00060	2	1993	11	38.7
USGS	04108801	00060	2	1993	12	44.9
USGS	04108801	00060	2	1994	1	42.9
USGS	04108801	00060	2	1994	2	185.6
USGS	04108801	00060	2	1994	3	169.1
USGS	04108801	00060	2	1994	4	33.8
USGS	04108801	00060	2	1994	5	22.9
USGS	04108801	00060	2	1994	6	100.6
USGS	04108801	00060	2	1994	7	77.4
USGS	04108801	00060	2	1994	8	122.3
USGS	04108801	00060	2	1994	9	17.3
USGS	04108801	00060	2	1994	10	31.4
USGS	04108801	00060	2	1994	11	215.3
USGS	04108801	00060	2	1994	12	76.7
USGS	04108801	00060	2	1995	1	155.4
USGS	04108801	00060	2	1995	2	70.9
USGS	04108801	00060	2	1995	3	100.8
USGS	04108801	00060	2	1995	4	128.8
USGS	04108801	00060	2	1995	5	47.4
USGS	04108801	00060	2	1995	6	14.9
USGS	04108801	00060	2	1995	7	16.2
USGS	04108801	00060	2	1995	8	6.87
USGS	04108801	00060	2	1995	9	3.52
USGS	04108801	00060	2	1995	10	9.34
USGS	04108801	00060	2	1995	11	126.1
USGS	04108801	00060	2	1995	12	52.5
USGS	04108801	00060	2	1996	1	81.0
USGS	04108801	00060	2	1996	2	116.1
USGS	04108801	00060	2	1996	3	65.2
USGS	04108801	00060	2	1996	4	45.8
USGS	04108801	00060	2	1996	5	231.5
USGS	04108801	00060	2	1996	6	160.2
USGS	04108801	00060	2	1996	7	8.74
USGS	04108801	00060	2	1996	8	3.43
USGS	04108801	00060	2	1996	9	2.28
USGS	04108801	00060	2	1996	10	5.22
USGS	04108801	00060	2	1996	11	15.6
USGS	04108801	00060	2	1996	12	107.4
USGS	04108801	00060	2	1997	1	176.3
USGS	04108801	00060	2	1997	2	407.8
USGS	04108801	00060	2	1997	3	102.0
USGS	04108801	00060	2	1997	4	34.7
USGS	04108801	00060	2	1997	5	22.8
USGS	04108801	00060	2	1997	6	295.0
USGS	04108801	00060	2	1997	7	20.4
USGS	04108801	00060	2	1997	8	6.61
USGS	04108801	00060	2	1997	9	9.53
USGS	04108801	00060	2	1997	10	7.14
USGS	04108801	00060	2	1997	11	15.8
USGS	04108801	00060	2	1997	12	29.1
USGS	04108801	00060	2	1998	1	142.4
USGS	04108801	00060	2	1998	2	123.4
USGS	04108801	00060	2	1998	3	208.7
USGS	04108801	00060	2	1998	4	102.4
USGS	04108801	00060	2	1998	5	19.9
USGS	04108801	00060	2	1998	6	5.49
USGS	04108801	00060	2	1998	7	2.55
USGS	04108801	00060	2	1998	8	5.45
USGS	04108801	00060	2	1998	9	3.43
USGS	04108801	00060	2	1998	10	12.7
USGS	04108801	00060	2	1998	11	16.4
USGS	04108801	00060	2	1998	12	18.9
USGS	04108801	00060	2	1999	1	215.0
USGS	04108801	00060	2	1999	2	67.6
USGS	04108801	00060	2	1999	3	51.3
USGS	04108801	00060	2	1999	4	160.9
USGS	04108801	00060	2	1999	5	41.6
USGS	04108801	00060	2	1999	6	28.8
USGS	04108801	00060	2	1999	7	14.5
USGS	04108801	00060	2	1999	8	3.55
USGS	04108801	00060	2	1999	9	2.88
USGS	04108801	00060	2	1999	10	3.87
USGS	04108801	00060	2	1999	11	3.34
USGS	04108801	00060	2	1999	12	12.2
USGS	04108801	00060	2	2000	1	23.4
USGS	04108801	00060	2	2000	2	66.9
USGS	04108801	00060	2	2000	3	20.5
USGS	04108801	00060	2	2000	4	130.7
USGS	04108801	00060	2	2000	5	308.3
USGS	04108801	00060	2	2000	6	80.2
USGS	04108801	00060	2	2000	7	29.8
USGS	04108801	00060	2	2000	8	25.9
USGS	04108801	00060	2	2000	9	102.6
USGS	04108801	00060	2	2000	10	17.7
USGS	04108801	00060	2	2000	11	142.1
USGS	04108801	00060	2	2000	12	75.2
USGS	04108801	00060	2	2001	1	102.5
USGS	04108801	00060	2	2001	2	246.5
USGS	04108801	00060	2	2001	3	54.2
USGS	04108801	00060	2	2001	4	25.5
USGS	04108801	00060	2	2001	5	53.1
USGS	04108801	00060	2	2001	6	69.3
USGS	04108801	00060	2	2001	7	63.4
USGS	04108801	00060	2	2001	8	20.0
USGS	04108801	00060	2	2001	9	43.3
USGS	04108801	00060	2	2001	10	272.8
USGS	04108801	00060	2	2001	11	39.7
USGS	04108801	00060	2	2001	12	71.3
USGS	04108801	00060	2	2002	1	137.2
USGS	04108801	00060	2	2002	2	127.7
USGS	04108801	00060	2	2002	3	165.9
USGS	04108801	00060	2	2002	4	95.1
USGS	04108801	00060	2	2002	5	133.9
USGS	04108801	00060	2	2002	6	19.2
USGS	04108801	00060	2	2002	7	5.30
USGS	04108801	00060	2	2002	8	8.55
USGS	04108801	00060	2	2002	9	3.93
USGS	04108801	00060	2	2002	10	5.90
USGS	04108801	00060	2	2002	11	27.4
USGS	04108801	00060	2	2002	12	33.2
USGS	04108801	00060	2	2003	1	12.3
USGS	04108801	00060	2	2003	2	12.0
USGS	04108801	00060	2	2003	3	142.3
USGS	04108801	00060	2	2003	4	95.9
USGS	04108801	00060	2	2003	5	86.1
USGS	04108801	00060	2	2003	6	12.0
USGS	04108801	00060	2	2003	7	9.09
USGS	04108801	00060	2	2003	8	6.10
USGS	04108801	00060	2	2003	9	3.40
USGS	04108801	00060	2	2003	10	5.28
USGS	04108801	00060	2	2003	11	185.7
